Item,Provinsi,Tahun,Produksi,Curah hujan,Kelembapan,Suhu rata-rata,Luas Panen
Kedelai,Sumatera Selatan,2013,5140.00,3409.00,84.00,27.30,3564.00
Kedelai,Sumatera Selatan,2014,12550.00,1668.30,81.00,26.00,7237.00
Kedelai,Sumatera Selatan,2015,16818.00,1947.20,79.50,27.70,11145.00
Kedelai,Sumatera Selatan,2016,23391.00,3477.90,82.22,27.31,15148.00
Kedelai,Sumatera Selatan,2017,11792.00,2489.50,81.08,26.75,6741.00
Jagung,Bengkulu,1993,36449.00,4150.00,85.50,25.95,20139.00
Jagung,Bengkulu,1994,32303.00,2043.00,85.32,25.68,17963.00
Jagung,Bengkulu,1995,52232.00,4478.00,85.49,26.12,28755.00
Jagung,Bengkulu,1996,53940.00,3931.00,85.96,25.66,29708.00
Jagung,Bengkulu,1997,61081.00,1167.00,84.00,25.84,33232.00
Jagung,Bengkulu,1998,64062.00,4114.00,85.34,26.40,36119.00
Jagung,Bengkulu,1999,55178.00,3084.00,84.72,25.81,29718.00
Jagung,Bengkulu,2000,46638.00,3254.00,84.73,24.22,25397.00
Jagung,Bengkulu,2001,41557.00,3010.00,70.15,26.80,22576.00
Jagung,Bengkulu,2002,52190.00,3076.00,67.98,28.50,28948.00
Jagung,Bengkulu,2003,52723.00,3030.00,70.30,29.50,28214.00
Jagung,Bengkulu,2004,50012.00,3277.00,84.28,29.70,20049.00
Jagung,Bengkulu,2005,84089.00,3375.20,84.70,25.70,31998.00
Jagung,Bengkulu,2006,82296.00,2313.80,83.30,26.10,31649.00
Jagung,Bengkulu,2007,83385.00,3150.00,84.20,26.40,27117.00
Jagung,Bengkulu,2008,111826.00,3396.00,84.20,26.30,35661.00
Jagung,Bengkulu,2009,93798.00,3850.00,84.10,26.50,28205.00
Jagung,Bengkulu,2010,74331.00,3822.00,84.00,26.80,20516.00
Jagung,Bengkulu,2011,87362.00,2465.70,82.52,26.35,22215.00
Jagung,Bengkulu,2012,103771.00,2545.00,82.00,26.90,22653.00
Jagung,Bengkulu,2013,93988.00,3980.90,83.93,26.70,18257.00
Jagung,Bengkulu,2014,72756.00,3323.00,83.70,26.90,15643.00
Jagung,Bengkulu,2015,52785.00,2668.90,83.20,27.00,10137.00
Jagung,Bengkulu,2016,133902.00,3350.10,83.38,26.77,12321.00
Jagung,Bengkulu,2017,148090.00,3949.80,84.20,26.52,14116.00
Ubi Kayu,Bengkulu,1993,85987.00,4150.00,85.50,25.95,8760.00
Ubi Kayu,Bengkulu,1994,74960.00,2043.00,85.32,25.68,6923.00
Ubi Kayu,Bengkulu,1995,90774.00,4478.00,85.49,26.12,8095.00
Ubi Kayu,Bengkulu,1996,105587.00,3931.00,85.96,25.66,9217.00
Ubi Kayu,Bengkulu,1997,99854.00,1167.00,84.00,25.84,8791.00
Ubi Kayu,Bengkulu,1998,124064.00,4114.00,85.34,26.40,11051.00
Ubi Kayu,Bengkulu,1999,95420.00,3084.00,84.72,25.81,8550.00
Ubi Kayu,Bengkulu,2000,92643.00,3254.00,84.73,24.22,8249.00
Ubi Kayu,Bengkulu,2001,73566.00,3010.00,70.15,26.80,6459.00
Ubi Kayu,Bengkulu,2002,81390.00,3076.00,67.98,28.50,7186.00
Ubi Kayu,Bengkulu,2003,82945.00,3030.00,70.30,29.50,7194.00
Ubi Kayu,Bengkulu,2004,59659.00,3277.00,84.28,29.70,5118.00
Ubi Kayu,Bengkulu,2005,79934.00,3375.20,84.70,25.70,6856.00
Ubi Kayu,Bengkulu,2006,113488.00,2313.80,83.30,26.10,9761.00
Ubi Kayu,Bengkulu,2007,76924.00,3150.00,84.20,26.40,6614.00
Ubi Kayu,Bengkulu,2008,49478.00,3396.00,84.20,26.30,4231.00
Ubi Kayu,Bengkulu,2009,37311.00,3850.00,84.10,26.50,3199.00
Ubi Kayu,Bengkulu,2010,43847.00,3822.00,84.00,26.80,3714.00
Ubi Kayu,Bengkulu,2011,47735.00,2465.70,82.52,26.35,4047.00
Ubi Kayu,Bengkulu,2012,57618.00,2545.00,82.00,26.90,4571.00
Ubi Kayu,Bengkulu,2013,62193.00,3980.90,83.93,26.70,4861.00
Ubi Kayu,Bengkulu,2014,78853.00,3323.00,83.70,26.90,4496.00
Ubi Kayu,Bengkulu,2015,80309.00,2668.90,83.20,27.00,3573.00
Ubi Kayu,Bengkulu,2016,70539.00,3350.10,83.38,26.77,2776.00
Ubi Kayu,Bengkulu,2017,64644.00,3949.80,84.20,26.52,2708.00
Ubi Jalar,Bengkulu,1993,89922.00,4150.00,85.50,25.95,9877.00
Ubi Jalar,Bengkulu,1994,85143.00,2043.00,85.32,25.68,9248.00
Ubi Jalar,Bengkulu,1995,84170.00,4478.00,85.49,26.12,9229.00
Ubi Jalar,Bengkulu,1996,116900.00,3931.00,85.96,25.66,12588.00
Ubi Jalar,Bengkulu,1997,125010.00,1167.00,84.00,25.84,2250.00
Ubi Jalar,Bengkulu,1998,93054.00,4114.00,85.34,26.40,10058.00
Ubi Jalar,Bengkulu,1999,70911.00,3084.00,84.72,25.81,7648.00
Ubi Jalar,Bengkulu,2000,64313.00,3254.00,84.73,24.22,7004.00
Ubi Jalar,Bengkulu,2001,58752.00,3010.00,70.15,26.80,6353.00
Ubi Jalar,Bengkulu,2002,62689.00,3076.00,67.98,28.50,6720.00
Ubi Jalar,Bengkulu,2003,54741.00,3030.00,70.30,29.50,5783.00
Ubi Jalar,Bengkulu,2004,35368.00,3277.00,84.28,29.70,3711.00
Ubi Jalar,Bengkulu,2005,45921.00,3375.20,84.70,25.70,4818.00
Ubi Jalar,Bengkulu,2006,51184.00,2313.80,83.30,26.10,5366.00
Ubi Jalar,Bengkulu,2007,32131.00,3150.00,84.20,26.40,3372.00
Ubi Jalar,Bengkulu,2008,30682.00,3396.00,84.20,26.30,3217.00
Ubi Jalar,Bengkulu,2009,20930.00,3850.00,84.10,26.50,2197.00
Ubi Jalar,Bengkulu,2010,27840.00,3822.00,84.00,26.80,2900.00
Ubi Jalar,Bengkulu,2011,26445.00,2465.70,82.52,26.35,2734.00
Ubi Jalar,Bengkulu,2012,37271.00,2545.00,82.00,26.90,3855.00
Ubi Jalar,Bengkulu,2013,31672.00,3980.90,83.93,26.70,3277.00
Ubi Jalar,Bengkulu,2014,52251.00,3323.00,83.70,26.90,3931.00
Ubi Jalar,Bengkulu,2015,38841.00,2668.90,83.20,27.00,2950.00
Ubi Jalar,Bengkulu,2016,30233.00,3350.10,83.38,26.77,2035.00
Ubi Jalar,Bengkulu,2017,41132.00,3949.80,84.20,26.52,2630.00
Kacang Tanah,Bengkulu,1993,8594.00,4150.00,85.50,25.95,8770.00
Kacang Tanah,Bengkulu,1994,6861.00,2043.00,85.32,25.68,8002.00
Kacang Tanah,Bengkulu,1995,8920.00,4478.00,85.49,26.12,9616.00
Kacang Tanah,Bengkulu,1996,8740.00,3931.00,85.96,25.66,9221.00
Kacang Tanah,Bengkulu,1997,9215.00,1167.00,84.00,25.84,9522.00
Kacang Tanah,Bengkulu,1998,7824.00,4114.00,85.34,26.40,8147.00
Kacang Tanah,Bengkulu,1999,6156.00,3084.00,84.72,25.81,6216.00
Kacang Tanah,Bengkulu,2000,5628.00,3254.00,84.73,24.22,5722.00
Kacang Tanah,Bengkulu,2001,5472.00,3010.00,70.15,26.80,5545.00
Kacang Tanah,Bengkulu,2002,6035.00,3076.00,67.98,28.50,6233.00
Kacang Tanah,Bengkulu,2003,6040.00,3030.00,70.30,29.50,6239.00
Kacang Tanah,Bengkulu,2004,5814.00,3277.00,84.28,29.70,5852.00
Kacang Tanah,Bengkulu,2005,6800.00,3375.20,84.70,25.70,6844.00
Kacang Tanah,Bengkulu,2006,7038.00,2313.80,83.30,26.10,7128.00
Kacang Tanah,Bengkulu,2007,5430.00,3150.00,84.20,26.40,5477.00
Kacang Tanah,Bengkulu,2008,4585.00,3396.00,84.20,26.30,4622.00
Kacang Tanah,Bengkulu,2009,3472.00,3850.00,84.10,26.50,3499.00
Kacang Tanah,Bengkulu,2010,7253.00,3822.00,84.00,26.80,7030.00
Kacang Tanah,Bengkulu,2011,6444.00,2465.70,82.52,26.35,6384.00
Kacang Tanah,Bengkulu,2012,5802.00,2545.00,82.00,26.90,5403.00
Kacang Tanah,Bengkulu,2013,4679.00,3980.90,83.93,26.70,4370.00
Kacang Tanah,Bengkulu,2014,4612.00,3323.00,83.70,26.90,4535.00
Kacang Tanah,Bengkulu,2015,3630.00,2668.90,83.20,27.00,2971.00
Kacang Tanah,Bengkulu,2016,2058.00,3350.10,83.38,26.77,2132.00
Kacang Tanah,Bengkulu,2017,1925.00,3949.80,84.20,26.52,1896.00
Kedelai,Bengkulu,1993,13590.00,4150.00,85.50,25.95,15417.00
Kedelai,Bengkulu,1994,11723.00,2043.00,85.32,25.68,13535.00
Kedelai,Bengkulu,1995,12671.00,4478.00,85.49,26.12,13871.00
Kedelai,Bengkulu,1996,8122.00,3931.00,85.96,25.66,8733.00
Kedelai,Bengkulu,1997,8809.00,1167.00,84.00,25.84,9242.00
Kedelai,Bengkulu,1998,8411.00,4114.00,85.34,26.40,8833.00
Kedelai,Bengkulu,1999,4617.00,3084.00,84.72,25.81,5394.00
Kedelai,Bengkulu,2000,3059.00,3254.00,84.73,24.22,3249.00
Kedelai,Bengkulu,2001,1395.00,3010.00,70.15,26.80,1505.00
Kedelai,Bengkulu,2002,1919.00,3076.00,67.98,28.50,2055.00
Kedelai,Bengkulu,2003,2083.00,3030.00,70.30,29.50,2309.00
Kedelai,Bengkulu,2004,3053.00,3277.00,84.28,29.70,3309.00
Kedelai,Bengkulu,2005,2522.00,3375.20,84.70,25.70,2725.00
Kedelai,Bengkulu,2006,1341.00,2313.80,83.30,26.10,1449.00
Kedelai,Bengkulu,2007,1747.00,3150.00,84.20,26.40,1880.00
Kedelai,Bengkulu,2008,2316.00,3396.00,84.20,26.30,2487.00
Kedelai,Bengkulu,2009,5323.00,3850.00,84.10,26.50,5605.00
Kedelai,Bengkulu,2010,2719.00,3822.00,84.00,26.80,2654.00
Kedelai,Bengkulu,2011,3458.00,2465.70,82.52,26.35,3425.00
Kedelai,Bengkulu,2012,2316.00,2545.00,82.00,26.90,2253.00
Kedelai,Bengkulu,2013,3987.00,3980.90,83.93,26.70,3720.00
Kedelai,Bengkulu,2014,5715.00,3323.00,83.70,26.90,5375.00
Kedelai,Bengkulu,2015,5388.00,2668.90,83.20,27.00,4235.00
Kedelai,Bengkulu,2016,4664.00,3350.10,83.38,26.77,4002.00
Kedelai,Bengkulu,2017,413.00,3949.80,84.20,26.52,491.00
Jagung,Lampung,1993,579141.00,2306.70,84.82,26.41,252827.00
Jagung,Lampung,1994,563069.00,2034.20,77.51,25.73,249581.00
Jagung,Lampung,1995,843177.00,3039.40,82.81,26.43,363678.00
Jagung,Lampung,1996,938395.00,1934.90,82.61,26.27,403264.00
Jagung,Lampung,1997,1080691.00,1253.30,78.46,26.68,359058.00
Jagung,Lampung,1998,1111832.00,2584.90,84.07,26.95,374840.00
Jagung,Lampung,1999,1176489.00,2364.70,83.46,26.24,399827.00
Jagung,Lampung,2000,1122954.00,1488.50,82.86,28.20,382401.00
Jagung,Lampung,2001,1122886.00,2013.10,77.83,26.71,378251.00
Jagung,Lampung,2002,989223.00,2143.50,75.84,27.50,320057.00
Jagung,Lampung,2003,1087751.00,1682.20,68.71,29.67,330852.00
Jagung,Lampung,2004,1216974.00,2042.90,81.47,29.66,364842.00
Jagung,Lampung,2005,1439000.00,1612.80,79.60,26.59,411629.00
Jagung,Lampung,2006,1183982.00,560.30,74.60,26.18,33264.00
Jagung,Lampung,2007,1346821.00,1941.40,75.90,27.60,369971.00
Jagung,Lampung,2008,1809886.00,1940.10,79.00,26.40,387549.00
Jagung,Lampung,2009,2067710.00,1789.00,79.10,26.70,434542.00
Jagung,Lampung,2010,2126571.00,2710.00,82.30,26.70,447509.00
Jagung,Lampung,2011,1817906.00,1568.00,77.80,26.80,380917.00
Jagung,Lampung,2012,1760275.00,1685.00,79.20,26.80,360264.00
Jagung,Lampung,2013,1760278.00,2456.70,81.00,26.70,346315.00
Jagung,Lampung,2014,1719386.00,1682.50,79.90,25.80,338885.00
Jagung,Lampung,2015,1502800.00,1628.10,78.90,27.10,293521.00
Jagung,Lampung,2016,1720196.00,2317.60,79.40,26.45,174457.00
Jagung,Lampung,2017,2518895.00,1825.10,77.04,26.36,244898.00
Ubi Kayu,Lampung,1993,2894298.00,2306.70,84.82,26.41,214689.00
Ubi Kayu,Lampung,1994,2095109.00,2034.20,77.51,25.73,175422.00
Ubi Kayu,Lampung,1995,2267741.00,3039.40,82.81,26.43,193062.00
Ubi Kayu,Lampung,1996,2898667.00,1934.90,82.61,26.27,257417.00
Ubi Kayu,Lampung,1997,1609661.00,1253.30,78.46,26.68,143861.00
Ubi Kayu,Lampung,1998,1951590.00,2584.90,84.07,26.95,174745.00
Ubi Kayu,Lampung,1999,3028605.00,2364.70,83.46,26.24,264178.00
Ubi Kayu,Lampung,2000,2924418.00,1488.50,82.86,28.20,258029.00
Ubi Kayu,Lampung,2001,3584225.00,2013.10,77.83,26.71,316979.00
Ubi Kayu,Lampung,2002,3471136.00,2143.50,75.84,27.50,295156.00
Ubi Kayu,Lampung,2003,4984616.00,1682.20,68.71,29.67,298989.00
Ubi Kayu,Lampung,2004,4673091.00,2042.90,81.47,29.66,266586.00
Ubi Kayu,Lampung,2005,4806254.00,1612.80,79.60,26.59,252984.00
Ubi Kayu,Lampung,2006,5499403.00,560.30,74.60,26.18,283430.00
Ubi Kayu,Lampung,2007,6394906.00,1941.40,75.90,27.60,316806.00
Ubi Kayu,Lampung,2008,7721882.00,1940.10,79.00,26.40,318969.00
Ubi Kayu,Lampung,2009,7569178.00,1789.00,79.10,26.70,309047.00
Ubi Kayu,Lampung,2010,8637594.00,2710.00,82.30,26.70,346217.00
Ubi Kayu,Lampung,2011,9193676.00,1568.00,77.80,26.80,368096.00
Ubi Kayu,Lampung,2012,8387351.00,1685.00,79.20,26.80,324749.00
Ubi Kayu,Lampung,2013,8329201.00,2456.70,81.00,26.70,318107.00
Ubi Kayu,Lampung,2014,8034016.00,1682.50,79.90,25.80,304468.00
Ubi Kayu,Lampung,2015,7387084.00,1628.10,78.90,27.10,279337.00
Ubi Kayu,Lampung,2016,6481382.00,2317.60,79.40,26.45,247571.00
Ubi Kayu,Lampung,2017,5451312.00,1825.10,77.04,26.36,208662.00
Ubi Jalar,Lampung,1993,49067.00,2306.70,84.82,26.41,5124.00
Ubi Jalar,Lampung,1994,38675.00,2034.20,77.51,25.73,4012.00
Ubi Jalar,Lampung,1995,56824.00,3039.40,82.81,26.43,6065.00
Ubi Jalar,Lampung,1996,65915.00,1934.90,82.61,26.27,6718.00
Ubi Jalar,Lampung,1997,34843.00,1253.30,78.46,26.68,5462.00
Ubi Jalar,Lampung,1998,59422.00,2584.90,84.07,26.95,6315.00
Ubi Jalar,Lampung,1999,40559.00,2364.70,83.46,26.24,4231.00
Ubi Jalar,Lampung,2000,43246.00,1488.50,82.86,28.20,4485.00
Ubi Jalar,Lampung,2001,42207.00,2013.10,77.83,26.71,4380.00
Ubi Jalar,Lampung,2002,39498.00,2143.50,75.84,27.50,4113.00
Ubi Jalar,Lampung,2003,41082.00,1682.20,68.71,29.67,4267.00
Ubi Jalar,Lampung,2004,45769.00,2042.90,81.47,29.66,4745.00
Ubi Jalar,Lampung,2005,44602.00,1612.80,79.60,26.59,4617.00
Ubi Jalar,Lampung,2006,42586.00,560.30,74.60,26.18,4400.00
Ubi Jalar,Lampung,2007,46772.00,1941.40,75.90,27.60,4813.00
Ubi Jalar,Lampung,2008,48191.00,1940.10,79.00,26.40,4953.00
Ubi Jalar,Lampung,2009,45041.00,1789.00,79.10,26.70,4626.00
Ubi Jalar,Lampung,2010,44920.00,2710.00,82.30,26.70,4612.00
Ubi Jalar,Lampung,2011,47239.00,1568.00,77.80,26.80,4848.00
Ubi Jalar,Lampung,2012,47408.00,1685.00,79.20,26.80,4849.00
Ubi Jalar,Lampung,2013,45141.00,2456.70,81.00,26.70,4630.00
Ubi Jalar,Lampung,2014,42000.00,1682.50,79.90,25.80,4309.00
Ubi Jalar,Lampung,2015,28494.00,1628.10,78.90,27.10,2958.00
Ubi Jalar,Lampung,2016,23603.00,2317.60,79.40,26.45,2441.00
Ubi Jalar,Lampung,2017,21306.00,1825.10,77.04,26.36,1866.00
Kacang Tanah,Lampung,1993,12123.00,2306.70,84.82,26.41,10820.00
Kacang Tanah,Lampung,1994,10294.00,2034.20,77.51,25.73,9801.00
Kacang Tanah,Lampung,1995,20470.00,3039.40,82.81,26.43,16947.00
Kacang Tanah,Lampung,1996,16314.00,1934.90,82.61,26.27,14524.00
Kacang Tanah,Lampung,1997,10061.00,1253.30,78.46,26.68,8542.00
Kacang Tanah,Lampung,1998,13007.00,2584.90,84.07,26.95,12390.00
Kacang Tanah,Lampung,1999,7467.00,2364.70,83.46,26.24,6956.00
Kacang Tanah,Lampung,2000,9532.00,1488.50,82.86,28.20,9163.00
Kacang Tanah,Lampung,2001,14022.00,2013.10,77.83,26.71,12250.00
Kacang Tanah,Lampung,2002,9331.00,2143.50,75.84,27.50,8414.00
Kacang Tanah,Lampung,2003,12032.00,1682.20,68.71,29.67,10921.00
Kacang Tanah,Lampung,2004,11423.00,2042.90,81.47,29.66,10464.00
Kacang Tanah,Lampung,2005,11634.00,1612.80,79.60,26.59,10857.00
Kacang Tanah,Lampung,2006,11888.00,560.30,74.60,26.18,10127.00
Kacang Tanah,Lampung,2007,12756.00,1941.40,75.90,27.60,10698.00
Kacang Tanah,Lampung,2008,13088.00,1940.10,79.00,26.40,10316.00
Kacang Tanah,Lampung,2009,11090.00,1789.00,79.10,26.70,8667.00
Kacang Tanah,Lampung,2010,17617.00,2710.00,82.30,26.70,13967.00
Kacang Tanah,Lampung,2011,12911.00,1568.00,77.80,26.80,10148.00
Kacang Tanah,Lampung,2012,10694.00,1685.00,79.20,26.80,8420.00
Kacang Tanah,Lampung,2013,10676.00,2456.70,81.00,26.70,8305.00
Kacang Tanah,Lampung,2014,9951.00,1682.50,79.90,25.80,7651.00
Kacang Tanah,Lampung,2015,4963.00,1628.10,78.90,27.10,3764.00
Kacang Tanah,Lampung,2016,4842.00,2317.60,79.40,26.45,3646.00
Kacang Tanah,Lampung,2017,4401.00,1825.10,77.04,26.36,3247.00
Kedelai,Lampung,1993,126204.00,2306.70,84.82,26.41,124881.00
Kedelai,Lampung,1994,110380.00,2034.20,77.51,25.73,106991.00
Kedelai,Lampung,1995,183566.00,3039.40,82.81,26.43,177553.00
Kedelai,Lampung,1996,92730.00,1934.90,82.61,26.27,89323.00
Kedelai,Lampung,1997,31914.00,1253.30,78.46,26.68,30700.00
Kedelai,Lampung,1998,43008.00,2584.90,84.07,26.95,41427.00
Kedelai,Lampung,1999,53848.00,2364.70,83.46,26.24,50472.00
Kedelai,Lampung,2000,22457.00,1488.50,82.86,28.20,24066.00
Kedelai,Lampung,2001,12391.00,2013.10,77.83,26.71,12176.00
Kedelai,Lampung,2002,6032.00,2143.50,75.84,27.50,6020.00
Kedelai,Lampung,2003,4360.00,1682.20,68.71,29.67,4231.00
Kedelai,Lampung,2004,5388.00,2042.90,81.47,29.66,5139.00
Kedelai,Lampung,2005,4699.00,1612.80,79.60,26.59,4110.00
Kedelai,Lampung,2006,3594.00,560.30,74.60,26.18,3158.00
Kedelai,Lampung,2007,3396.00,1941.40,75.90,27.60,3008.00
Kedelai,Lampung,2008,6678.00,1940.10,79.00,26.40,5658.00
Kedelai,Lampung,2009,16153.00,1789.00,79.10,26.70,13518.00
Kedelai,Lampung,2010,7325.00,2710.00,82.30,26.70,6195.00
Kedelai,Lampung,2011,10984.00,1568.00,77.80,26.80,9232.00
Kedelai,Lampung,2012,7993.00,1685.00,79.20,26.80,6708.00
Kedelai,Lampung,2013,6156.00,2456.70,81.00,26.70,4986.00
Kedelai,Lampung,2014,13777.00,1682.50,79.90,25.80,11362.00
Kedelai,Lampung,2015,9815.00,1628.10,78.90,27.10,8407.00
Kedelai,Lampung,2016,9960.00,2317.60,79.40,26.45,8181.00
Kedelai,Lampung,2017,8027.00,1825.10,77.04,26.36,5944.00
